SMILES,Absorption/nm,Emission/nm,PLQY
C1(C2=CC3=C(C=C2)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC7=CC=CC=C7NB63)=CC=C(N8)C(C=C9B8C%10=C(C=CC(C%11=CC(B%12NC%13=CC=CC=C%13C=C%14%12)=C(C(C%15=CC=CC=C%15)=C%14C%16=CC=CC=C%16)C=C%11)=C%10)C(C%17=CC=CC=C%17)=C9C%18=CC=CC=C%18)=C1,407.0,489.0,0.6
C12=CC=CC=C1C=CC3=C2C=CB4C=CC=CN34,334.0,371.0,0.19
C12=CC=CC=C1C=CC3=C2C=CB4C(C#CC5=CC=CC=C5)=CC=CN34,348.0,391.0,0.68
C12=CC=CC=C1C=CC3=C2C=CB4C(N5CCOCC5)=CC=CN34,319.0,378.0,0.16
C12=C3C(N(B(C4=CC=CC=C4)C=C5)CCN3B(C6=CC=CC=C6)C=C2)=C5C=C1,307.0,397.0,0.19
C12=C3C(N(B(C4=CC=CC=C4)C(C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C=C2)=C6C=C1,333.0,406.0,0.21
C12=C3C(N(B(C4=CC=CC=C4)C(C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C(C8=CC=CC=C8)=C2)=C6C=C1,348.0,411.0,0.6
C12=C3C(N(B(C4=CC=CC=C4)C(/C=C/C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C=C2)=C6C=C1,369.0,423.0,0.74
C12=C3C(N(B(C4=CC=CC=C4)C(/C=C/C5=CC=CC=C5)=C6)CCN3B(C7=CC=CC=C7)C(/C=C/C8=CC=CC=C8)=C2)=C6C=C1,400.0,460.0,0.88
CC([Si](C#CC1=C(C=CC=C2)C2=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C3=CC4=C(C=C31)SC5=C4B(C6=CC=CC=C6)NC7=C5C=C8C(C(SC9=C%10C=C%11C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=CC=C%12)C%12=C%11C#C[Si](C(C)C)(C(C)C)C(C)C)=C9)=C%10B(C%13=CC=CC=C%13)N8)=C7)(C(C)C)C(C)C)C,532.0,551.0,0.127
CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6,406.0,471.0,0.82
CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=C(C)C=CC=C3C)=C(C4=C(C)C=CC=C4C)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6,344.0,484.0,0.16
CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=C(C(F)(F)F)C=C3)=C(C4=CC=C(C(F)(F)F)C=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=CC=C6,346.0,471.0,0.61
CC(C=C(C)C=C1C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C)C=C(C)C=C5C)B2C6=CC=CC=C6,388.0,472.0,0.59
CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=CC=C3)=C(C4=CC=CC=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=C(C)C=C(C)C=C6C,411.0,480.0,0.9
CC(C)C(C=CC=C1C(C)C)=C1N2C(C3=CC=C(C(F)(F)F)C=C3)=C(C4=CC=C(C(F)(F)F)C=C4)N(C5=C(C(C)C)C=CC=C5C(C)C)B2C6=CC=C(B7N(C8=C(C(C)C)C=CC=C8C(C)C)C(C9=CC=C(C(F)(F)F)C=C9)=C(C%10=CC=C(C(F)(F)F)C=C%10)N7C%11=C(C(C)C)C=CC=C%11C(C)C)C=C6,439.0,495.0,0.9
CC(C)C(C=CC=C1C(C)C)=C1N2C=CN(C3=C(C(C)C)C=CC=C3C(C)C)B2C4=CC=CC=C4,280.0,406.0,0.76
C12=CC=CC(C3=C4N5C=CC4=CC=C3)=C1B5N6C7=C2C=CC=C7C=C6,349.0,387.0,0.65
CC(C)(C)C1=CC2=C(C=C1)N3B4C5=C(C6=C7N4C8=C(C=C(C(C)(C)C)C=C8)C7=CC(C(C)(C)C)=C6)C=CC=C5C9=C3C2=CC(C(C)(C)C)=C9,369.0,384.0,0.63
CCCC1=CC2=C(C=C1)N(C3=C2)B4C5=C(C(C6=CC(C=C(CCC)C=C7)=C7N64)=CC=C8)C8=CC9=C5C3=CC=C9,537.0,565.0,0.39
CC(C)(C)C1=CC2=C(C3=C1)N4B5C6=C(C7=C8N5C9=C(C=C(C(C)(C)C)C=C93)C8=CC(C(C)(C)C)=C7)C=CC=C6C%10=C4C2=CC(C(C)(C)C)=C%10,439.0,450.0,0.25
N12C3=C4C=CC5=C3N6C1=C(C(C=CC=C7)=C7B2C8=C4C=CC=C8)C9=C(C=CC=C9)B6C%10=C5C=CC=C%10,411.0,424.0,0.69
CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=CC=C5)C=CC=C41,384.0,420.0,0.24
CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=C(F)C=C5)C=CC=C41,384.0,420.0,0.26
CC1=CB(C2=CC=CC=C2)N3C4=C(C(C)=CB3C5=CC=C(C)C=C5)C=CC=C41,387.0,420.0,0.29
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,683.0,716.0,0.14
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,683.0,716.0,0.11
F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,804.0,816.0,0.13
F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,804.0,816.0,0.17
C12=CC=CC=C1NB3C4=C2C=CC=C4C(C=CC=C5)=C5N3,351.0,369.0,0.24
CCCCCCN1B2C(C(C(C=CC=C3)=C3N2CCCCCC)=CC=C4)=C4C5=CC=CC=C51,359.0,380.0,0.21
C12=CC=C(C3=C(C(C(C=CC4=C5C=CC=C4)=C5N6)=CC=C3)B6N7)C7=C1C=CC=C2,381.0,393.0,0.26
CCCCCCN1B2C(C(C(C=C(C3=CC=CC=C3)C=C4)=C4N2CCCCCC)=CC=C5)=C5C6=CC(C7=CC=CC=C7)=CC=C61,342.0,394.0,0.19
CCCCCCN1B2C(C(C(C=CC=C3)=C3N2CCCCCC)=CC=C4)=C4C5=CC(N(CCCCCC)B6C7=C8C=CC=C7C(C=CC=C9)=C9N6CCCCCC)=C8C=C51,435.0,448.0,0.83
C12=CC=CC=C1NB(C3=C4C=CC=C3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=C2,383.0,430.0,0.56
CC(C=C1)=CC=C1C2=C(C3=CC=C(C)C=C3)C(C=CC=C4)=C4B5C2=CC6=CC=CC=C6N5,384.0,458.0,0.68
FC(C=C1)=CC=C1C2=C(C3=CC=C(F)C=C3)C4=CC5=CC=CC=C5NB4C6=C2C=CC=C6,383.0,455.0,0.57
FC(C(C=C1)=CC=C1C2=C(C3=CC=C(C(F)(F)F)C=C3)C(C=CC=C4)=C4B5C2=CC6=CC=CC=C6N5)(F)F,381.0,436.0,0.57
CCCCC1=C(CCCC)C2=CC3=CC=CC=C3NB2C4=C1C=CC=C4,386.0,452.0,0.47
CC(C=C1)=CC2=C1B3C(C(C4=CC=CC=C4)=C2C5=CC=CC=C5)=CC6=CC=CC=C6N3,382.0,451.0,0.4
FC(C=C1)=CC2=C1B3C(C(C4=CC=CC=C4)=C2C5=CC=CC=C5)=CC6=CC=CC=C6N3,379.0,448.0,0.39
C12=CC=CC=C1N(CC3=CC=CC=C3)B(C4=C5C=CC=C4)C(C(C6=CC=CC=C6)=C5C7=CC=CC=C7)=C2,391.0,460.0,0.42
CCCCN1C2=CC=CC=C2C=C(C(C3=CC=CC=C3)=C4C5=CC=CC=C5)B1C6=C4C=CC=C6,390.0,452.0,0.57
CC1=CC=C(C=C(C(C2=CC=CC=C2)=C3C4=CC=CC=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=C1,394.0,463.0,0.76
CC1=CC=C(C=C(C(C2=CC=C(OC)C=C2)=C3C4=CC=C(OC)C=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=C1,396.0,466.0,0.85
FC1=C(C=C(C(C2=CC=CC=C2)=C3C4=CC=CC=C4)B5C6=C3C=CC=C6)C(N5CC7=CC=CC=C7)=CC=C1,392.0,468.0,0.86
C12=CC=CC=C1NB(C3=C4C=CS3)C(C(C5=CC=CC=C5)=C4C6=CC=CC=C6)=C2,382.0,474.0,0.21
F[B-]1(F)N2C=CC=CC2=NC2=[N+]1C=CC=C2,392.0,401.6,0.4
F[B-]([N+]1=CC=CC1=C2)(F)N3C2=CC=C3,497.0,507.0,0.87
F[B-](N1C2=CC=C1)(F)N3C(C2=[NH2+])=CC=C3,399.0,437.5,0.92
F[B-]([N+]1=CC=CC1=C2N)(F)N3C2=CC=C3,399.0,437.5,0.92
F[B-]([N+]1=CC=CC1=C2NC)(F)N3C2=CC=C3,405.0,464.5,0.52
F[B-]([N+]1=CC=CC1=C2N)(F)N3C2=CC=C3,405.0,464.5,0.52
F[B-]([N+]1=CC=CC1=C2NC)(F)N3C2=CC=C3,401.0,453.0,0.19
F[B-]([N+]1=CC=CC1=C2NCC#C)(F)N3C2=CC=C3,401.0,453.0,0.19
CC1=CC(C)=CC(C)=C1B(N2)C3=CC=C4B(C5=C(C)C=C(C)C=C5C)NC6=C(N34)C2=CC=C6,318.0,382.0,0.18
C12=CC=CC3=C1N4C(B(C5=CC=CC=C5)N2)=CC=C4B(C6=CC=CC=C6)N3,331.0,408.0,0.14
C12=CC=CC3=C1N4C(BN2)=CC=C4BN3,316.0,385.0,0.38
CCCCC1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1,446.0,475.0,0.444
C1(C=CC=C2)=C2C=C(C=CC=C3)C3=C1,356.0,403.0,0.36
C1(C=CC=C2)=C2C=C(C=CBN3)C3=C1,359.0,403.0,0.38
C1(C=CBN2)=C2C=C(C=CBN3)C3=C1,357.0,403.0,0.38
C1(NBC=C2)=C2C(C=CC=C3)=C3C=C1,345.0,348.0,0.79
C1(NB(C2=CC=CC=C2)C=C3)=C3C(C=CC=C4)=C4C=C1,356.0,360.0,0.92
C1(C=CBN2)=C2C(C=CC=C3)=C3C=C1,352.0,354.0,0.56
C1(C=CB(C2=CC=CC=C2)N3)=C3C(C=CC=C4)=C4C=C1,360.0,365.0,0.85
N12C=CC=CB1C=CC3=C2C=C(C=CC=C4)C4=C3,372.0,381.0,0.1775
N12C=CC3=C(C=C(C=CC=C4)C4=C3)B1C=CC5=C2C=CC=C5,390.0,403.0,0.122
N12C=CC3=C(C=C(C=CC=C4)C4=C3)B1C=CC5=C2C=C(C=CC=C6)C6=C5,416.0,433.0,0.2751
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CC3=CC=CC=C3)=O)C=C2,431.0,560.0,0.19
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCC(OC)=O)=O)C=C2,428.0,555.0,0.17
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=CC=C3F)=O)C=C2,431.0,565.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCCCC)=O)C=C2,427.0,557.0,0.2
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C=C)=O)C=C2,429.0,563.0,0.2
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(COC)=O)C=C2,429.0,556.0,0.16
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CC)=O)C=C2,427.0,554.0,0.18
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3CCC3)=O)C=C2,428.0,556.0,0.2
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(C)=CC=C3F)=O)C=C2,431.0,565.0,0.15
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(Cl)=CC=C3F)=O)C=C2,433.0,568.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(NC(C)=O)C=C3)=O)C=C2,431.0,593.0,0.18
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C(F)=CC=C3)=O)C=C2,432.0,564.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(I)=CC=C3F)=O)C=C2,431.0,567.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=C(Br)C=C3)=O)C=C2,433.0,561.0,0.11
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=CC(F)=C3)=O)C=C2,432.0,564.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(Cl)C=CC(C(F)(F)F)=C3)=O)C=C2,431.0,564.0,0.12
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(C4=CC=CC=C4F)O3)=O)C=C2,431.0,567.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=CC=C3OC)=O)C=C2,430.0,561.0,0.15
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCC3CCCC3)=O)C=C2,428.0,557.0,0.16
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(F)=C(F)C=C3F)=O)C=C2,431.0,562.0,0.11
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(F)C=C3C(F)(F)F)=O)C=C2,431.0,560.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(C)=C(F)C=C3)=O)C=C2,430.0,563.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(Cl)C=C3)=O)C=C2,431.0,562.0,0.15
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CC3=CC=C(F)C=C3)=O)C=C2,429.0,557.0,0.16
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCCCCCCC)=O)C=C2,427.0,554.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=CC(OC)=C3)=O)C=C2,431.0,562.0,0.15
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=C(F)C=CC(C)=C3Cl)=O)C=C2,431.0,563.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(C)C=C3)=O)C=C2,430.0,562.0,0.14
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(CCCCCCCCC)=O)C=C2,428.0,556.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C(C(C(F)(F)F)=CC=C3Cl)=C3F)=O)C=C2,431.0,563.0,0.11
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC(Cl)=CC=C3F)=O)C=C2,431.0,563.0,0.11
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(COC3=CC=C(Cl)C=C3)=O)C=C2,430.0,562.0,0.13
O=C(/C=C/C1=CC=C(N(C)CCO)C=C1)C2=CC=C(NC(C3=CC=C(I)C=C3)=O)C=C2,431.0,564.0,0.15
