Et30,SP,SdP,SA,SB
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
30.9,0.683,0.0,0.0,0.073
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
45.1,0.83,1.0,0.072,0.647
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
40.7,0.761,0.769,0.04,0.178
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
37.4,0.714,0.634,0.0,0.591
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
43.2,0.759,0.977,0.031,0.613
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
33.9,0.782,0.284,0.0,0.128
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
39.1,0.783,0.614,0.047,0.071
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
63.1,0.681,0.997,1.062,0.025
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
63.1,0.681,0.997,1.062,0.025
51.9,0.633,0.783,0.4,0.658
63.1,0.681,0.997,1.062,0.025
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
55.4,0.608,0.904,0.605,0.545
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
51.9,0.633,0.783,0.4,0.658
55.4,0.608,0.904,0.605,0.545
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
55.4,0.608,0.904,0.605,0.545
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
51.9,0.633,0.783,0.4,0.658
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
55.4,0.608,0.904,0.605,0.545
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
40.7,0.761,0.769,0.04,0.178
51.9,0.633,0.783,0.4,0.658
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
63.1,0.681,0.997,1.062,0.025
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
40.7,0.761,0.769,0.04,0.178
